상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,1분기매출,2분기매출,3분기매출,4분기매출,분기별매출평균,점포수
1000012,옥인길,CS300002,편의점,131042183.5,152563348.8,160071338.5,130246373,143480810.9,4
1000012,옥인길,CS300007,육류판매,58247873,,44544853,36701414,46498046.67,1
1000012,옥인길,CS300011,일반의류,28653197.8,33160921.2,37085336.6,44568563.4,35867004.75,5
1000013,율곡로10길,CS100001,한식음식점,36993356.25,39101316.8,37107035.6,51127112.2,41082205.21,4.75
1000013,율곡로10길,CS100006,패스트푸드점,26970262.5,27729410,25068660.5,25845231,26403391,2
1000013,율곡로10길,CS100008,분식전문점,114692.3333,1553331,6228595,,2632206.111,3.666666667
1000013,율곡로10길,CS100009,호프-간이주점,12000000,12000000,12000000,12000000,12000000,2
1000013,율곡로10길,CS100010,커피-음료,25546883.62,15978239.15,14754114.33,22054229.67,19583366.69,12.5
1000013,율곡로10길,CS200031,세탁소,113184.5,845112,,,479148.25,2
1000013,율곡로10길,CS300001,슈퍼마켓,19666113.65,17973343.44,22521163.05,24437157.68,21149444.46,18.5
1000013,율곡로10길,CS300002,편의점,49265403,60698891,59308930,54056281,55832376.25,1
1000013,율곡로10길,CS300010,반찬가게,,,,2779048.5,2779048.5,4
1000013,율곡로10길,CS300011,일반의류,7607896,,8732404,8948621.5,8429640.5,4
1000014,율곡로16길,CS100001,한식음식점,38400749.15,41478054.15,34340136.14,42542275.77,39190303.8,13.25
1000014,율곡로16길,CS100002,중식음식점,10182853.5,8592409,7607490.75,17926720.75,11077368.5,4
1000014,율곡로16길,CS300001,슈퍼마켓,18450836,21947635,26907179.4,27600786,23726609.1,5.5
1000014,율곡로16길,CS300002,편의점,252771044,,281834330,310551260,281718878,1
1000015,이화장길,CS100001,한식음식점,90030393.5,89724209.65,90855820.85,119200440.1,97452716.02,26.25
1000015,이화장길,CS100002,중식음식점,15439383.5,14167597.5,12290074,23582630,16369921.25,2.75
1000015,이화장길,CS100003,일식음식점,74473969.75,71789225,96899539,93750307.25,84228260.25,3.75
1000015,이화장길,CS100005,제과점,5369312,5782884,5675896.5,4887221.5,5428828.5,2
1000015,이화장길,CS100006,패스트푸드점,400141401.3,368821365.3,407307362.3,419029029.7,398824789.7,3
1000015,이화장길,CS100007,치킨전문점,22296590,29489307,31598810,25078007,27115678.5,1
1000015,이화장길,CS100008,분식전문점,1060322.222,1894112.875,2075201.286,343597.5714,1343308.489,7.75
1000015,이화장길,CS100009,호프-간이주점,13152043,7524961.667,9986856.667,12442824.33,10776671.42,3.25
1000015,이화장길,CS100010,커피-음료,91311240.67,92368359.11,76567156.91,40661102.92,75226964.9,10.25
1000015,이화장길,CS200001,일반교습학원,19135053,9501770.667,9074355,19628224,14334850.67,2.75
1000015,이화장길,CS200003,예술학원,7393372,9783202.5,5223619,5016203.2,6854099.175,4.25
1000015,이화장길,CS200005,스포츠 강습,20717884,15390428,14719563.33,22256927,18271200.58,3
1000015,이화장길,CS200028,미용실,5737167,9471596,9802875,7167694,8044833,1
1000015,이화장길,CS200037,노래방,3797903,4913251,7853194,9923737,6622021.25,1
1000015,이화장길,CS300002,편의점,478563364.4,554418859.6,587826891,583785088.8,551148551,5
1000015,이화장길,CS300007,육류판매,26702832,17350848,16768451,34029292,23712855.75,1
1000015,이화장길,CS300011,일반의류,1344782.5,,,13571921.88,7458352.188,8
1000015,이화장길,CS300022,화장품,6063929,12164535.5,8888058,9763415,9219984.375,2
1000016,자하문로7길,CS100001,한식음식점,55236519,66218440.77,51223898.91,58877448.86,57889076.89,22.5
